mss;place;coordinates;type
London British Library BL Oriental 821;Maḫdara Māryām;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;ʾAdāl;10.45222,41.177806;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Babylon;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Dawāro;,;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Warab;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Egypt;27.0,29.0;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 149;Gafat;;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Biblioteca Apostolica Vaticana Cerulli 223;Betä Maryam;;place named in colophon/incipit/explicit
Saint Petersburg Institut Vostočnyh Rukopisej Rossijskoj Akademii Nauk IV Orlov 26;Golgotha;;place named in colophon/incipit/explicit
Frankfurt Universitätsbibliothek Johann Christian Senckenberg Frankfurt Ms. or. 134;Mǝsr;27.0,29.0;place named in colophon/incipit/explicit
Frankfurt Universitätsbibliothek Johann Christian Senckenberg Frankfurt Ms. or. 134;Mǝsr;27.0,29.0;place named in colophon/incipit/explicit
Frankfurt Universitätsbibliothek Johann Christian Senckenberg Frankfurt Ms. or. 41;Mǝsr;27.0,29.0;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Aeth. 24;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Aeth. 24;Däbrä Ṣärabi;;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Aeth. 8;Rome;41.893055555,12.482777777;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Aeth. 8;Däbrä Ṣärabi;;place named in colophon/incipit/explicit
Vatican City Biblioteca Apostolica Vaticana Aeth. 66;Cyprus;35.0,33.0;place named in colophon/incipit/explicit
Oxford Bodleian Library Bodleian Bruce 80;Dabra Libānos;9.71667,38.8667;place named in colophon/incipit/explicit
Frankfurt Universitätsbibliothek Johann Christian Senckenberg Frankfurt Ms. or. 134;Mǝsr;27.0,29.0;place named in colophon/incipit/explicit
London British Library BL Oriental 509;ʾAborā qǝddus Giyorgis;;place named in colophon/incipit/explicit
London British Library BL Add. 16256;Ankobär;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 52;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 52;Dayr al-Muḥarraq;27.444444,30.816667;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 52;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 52;Dayr al-Muḥarraq;27.444444,30.816667;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France Pauline Epistles in BnF Éthiopien 45 / BnF Éthiopien 165;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 112;Dabra Ḍaḥay Qʷǝsqʷām;12.6000,37.4666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 112;No item: LOC2344DabraD;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 113;Sägla;;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 78;Ḥārat Zuwayla;30.0626,31.2496;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 78;Saint Anthony;28.8996,32.4734;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 78;Ḥārat Zuwayla;30.0626,31.2496;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 78;Ḥārat Zuwayla;30.0626,31.2496;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 80;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 80;Jerusalem;31.783333333,35.216666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 42;Dayr al-Muḥarraq;27.444444,30.816667;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 34;St. Paul's Monastery;28.846469,32.551578;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 163;;12.6,37.466666666;place named in colophon/incipit/explicit
Paris Bibliothèque nationale de France BnF Éthiopien 162;Gondar;12.6000,37.4666;place named in colophon/incipit/explicit
