SubjectID, relation, ObjectID
LIT3953MashafaQ, saws:isVersionInAnotherLanguageOf, LIT3953MashafaQ#t2Arabic
LIT3953MashafaQ#t2Arabic, saws:isVersionInAnotherLanguageOf, LIT3953MashafaQ#t3Greek
LIT3944ArdeetChL, saws:isVersionOf, LIT3942ArdeetCh
LIT3948MashafaKrS, saws:isVersionInAnotherLanguageOf, LIT1940Mashaf#t1coptic
LIT3575Mashaf, saws:isVersionOf, LIT1961Mashaf
LIT1201Bartos, saws:isVersionInAnotherLanguageOf, t4Arabic
LIT1399Filkes#t6arabic, saws:isVersionInAnotherLanguageOf, LIT1399Filkes#t5syriac
LIT1399Filkes#t1, saws:isVersionInAnotherLanguageOf, LIT1399Filkes#t6arabic
LIT1948Mashaf#t1, saws:isVersionInAnotherLanguageOf, LIT1948Mashaf#t3arabic
LIT1461Gadlah#t1, saws:isVersionInAnotherLanguageOf, LIT1461Gadlah#t2arabic
LIT1899Martyr#t1, saws:isVersionInAnotherLanguageOf, LIT1899Martyr#t3arabic
LIT1300Dersan, saws:isVersionOf, LIT2623Zenana
LIT1300Dersan, saws:isVersionOf, LIT1966Mashaf
LIT1199Barala#t1, saws:isVersionInAnotherLanguageOf, LIT1199Barala#t7arabic
LIT1199Barala#t4arabic, saws:isVersionInAnotherLanguageOf, LIT1199Barala#t3pahlavi
LIT1199Barala#t5georgian, saws:isVersionInAnotherLanguageOf, LIT1199Barala#t4arabic
LIT1199Barala#t6greek, saws:isVersionInAnotherLanguageOf, LIT1199Barala#t5georgian
LIT1199Barala#t7arabic, saws:isVersionInAnotherLanguageOf, LIT1199Barala#t6greek
LIT3942ArdeetCh, saws:isVersionOf, LIT1915Mashaf
LIT3945ArdeetBE, saws:isVersionOf, LIT1915Mashaf
LIT3979MashafaKrC, saws:isVersionOf, LIT1940Mashaf
LIT3952MashafaQ, saws:isVersionInAnotherLanguageOf, LIT3952MashafaQ#t2Arabic
LIT3952MashafaQ#t2Arabic, saws:isVersionInAnotherLanguageOf, LIT3952MashafaQ#t3Greek
LIT3575Mashaf, saws:isVersionOf, LIT1961Mashaf
LIT3989Aragawi#t1, saws:isVersionInAnotherLanguageOf, LIT3989Aragawi#t2arabic
