SubjectID, subjectLabel, subjectPeriod, subjectLang
LIT3953MashafaQ, Maṣḥafa qandil, Paks2, gez
LIT3953MashafaQ#t2Arabic, Qandīl, Paks2, ar
LIT3944ArdeetChL, Maṣḥafa ʾardǝʾǝt, Not available, gez
LIT3948MashafaKrS, Maṣḥafa krǝstǝnnā, Not available, gez
LIT3575Mashaf, Maṣḥafa saʿātāt, Not available, gez
LIT1201Bartos, Bārtos, Not available, gez
LIT1399Filkes#t6arabic, Not available, Not available, ar
LIT1399Filkes#t1, Filkǝsyos, Not available, gez
LIT1948Mashaf#t1, Maṣḥafa Mār Yǝṣhāq, Not available, gez
LIT1461Gadlah#t1, Gadla ḥawāryāt (general record), Not available, gez
LIT1899Martyr#t1, Gadla Marqoryos, Not available, gez
LIT1300Dersan, Dǝrsāna Śǝllāse, Not available, gez
LIT1300Dersan, Dǝrsāna Śǝllāse, Not available, gez
LIT1199Barala#t1, Baralām wa-Yǝwāsǝf, Not available, gez
LIT1199Barala#t4arabic, Bilawhar wa-Būdāsaf, Not available, ar
LIT1199Barala#t5georgian, Not available, Not available, geo
LIT1199Barala#t6greek, Not available, Not available, grc
LIT1199Barala#t7arabic, Not available, Not available, ar
LIT3942ArdeetCh, Maṣḥafa ʾardǝʾǝt, Not available, gez
LIT3945ArdeetBE, Maṣḥafa ʾardǝʾǝt, Not available, gez
LIT3979MashafaKrC, Maṣḥafa krǝstǝnnā, Not available, gez
LIT3952MashafaQ, Maṣḥafa qandil, Paks2, gez
LIT3952MashafaQ#t2Arabic, Qandīl, Paks2, ar
LIT3575Mashaf, Maṣḥafa saʿātāt, Not available, gez
LIT3989Aragawi#t1, ʾAragāwi manfasāwi, Paks2, gez
LIT3989Aragawi#t2arabic, Compendium of aš-Šayḫ al-Rūḥānī, Paks2, ar
LIT3171Commen#t2arabic, Not available, Paks2, ar
LIT3171Commen#t1, Tǝrgʷāme malʾǝkt za-bǝṣuʿ wa-kǝbur Ṗāwlos za-ṣaḥafa la-ʿƎbrāwǝyān, Paks2, gez
LIT3171Commen#t3amharic, Not available, Paks2, am
LIT3943ArdeetChS, Maṣḥafa ʾardǝʾǝt, Not available, gez
LIT3577GizeS, Gize ṣalot, Not available, gez
LIT5025Abgar, Legend of Abgar (Older Version), Not available, gez
LIT5027AbgarLonger, Legend of Abgar (Longer Version), Not available, gez
LIT1978Mashaf#t1, Maṣḥafa ṭomār, Not available, gez
LIT1978Mashaf#t4arabic, Not available, Not available, ar
LIT1959Mashaf#t1, Maṣḥafa qedar, Not available, gez
LIT1709Kebran#t1, Kǝbra nagaśt, Not available, gez
LIT1925Mashaf#t1, Maṣḥafa falāsfā ṭabibān (general record), Paks2, gez
LIT1340EnochE#t5greek, Greek Version of Enoch, Not available, Not available
LIT1340EnochE#t1, Maṣḥafa Henok, Not available, gez
LIT1293Dersan#t1, Dǝrsāna Māryām, Not available, gez
LIT1958Mashaf#t1, Maṣḥafa qandil, Not available, gez
LIT1958Mashaf#t2arabic, Qandīl, Not available, ar
LIT1124Apocal#t4arabic, Arabic Vision of Paul, Not available, ar
LIT1124Apocal#t1, Rāʾǝya [ʾǝgzǝʾǝtǝna] Māryām, Not available, gez
LIT1124Apocal#t5amharic, Amharic Vision of Mary, Not available, am
LIT1046Aksima#t1, ʾAksimāros, Not available, gez
LIT1586Hayman#t1, Hāymānota ʾabaw, Not available, gez
LIT1914Mashaf#t4arabic, Arabic Questions to Antiochus, Not available, ar
LIT1914Mashaf#t1, Maṣḥafa ʾAntǝyākos, Not available, gez
LIT1629Homily#t1, Dǝrsān baʾǝnta ʾǝlla nomu kāhǝnāt wa-diyāqonāt, Not available, gez
LIT1697Jubilees#t3greek, Greek Book of Jubilees, Not available, grc
