subjectLabel, subjectID, subjectLanguage, subjectPeriod, relation, objectLabel, objectID, objectLanguage, objectPeriod
Maṣḥafa qandil,LIT3953MashafaQ, gez,Paks2, saws:isVersionInAnotherLanguageOf, Qandīl,LIT3953MashafaQ#t2Arabic, ar,Paks2
Qandīl,LIT3953MashafaQ#t2Arabic, ar,Paks2, saws:isVersionInAnotherLanguageOf, Not available,LIT3953MashafaQ#t3Greek, grc,Paks2
Maṣḥafa ʾardǝʾǝt,LIT3944ArdeetChL, gez, Not available, saws:isVersionOf, Maṣḥafa ʾardǝʾǝt,LIT3942ArdeetCh, gez,
Maṣḥafa krǝstǝnnā,LIT3948MashafaKrS, gez, Not available, saws:isVersionInAnotherLanguageOf, Coptic baptismal rite,LIT1940Mashaf#t1coptic, cop,
Maṣḥafa saʿātāt,LIT3575Mashaf, gez, Not available, saws:isVersionOf, Maṣḥafa saʿātāt (general record),LIT1961Mashaf, gez,
Bārtos,LIT1201Bartos, gez, Not available, saws:isVersionInAnotherLanguageOf,No item: t4Arabic,t4Arabic, gez,
Not available,LIT1399Filkes#t6arabic, ar, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1399Filkes#t5syriac, syr,
Filkǝsyos,LIT1399Filkes#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1399Filkes#t6arabic, ar,
Maṣḥafa Mār Yǝṣhāq,LIT1948Mashaf#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1948Mashaf#t3arabic, gez,
Gadla ḥawāryāt (general record),LIT1461Gadlah#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic version,LIT1461Gadlah#t2arabic, ar,
Gadla Marqoryos,LIT1899Martyr#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic Vita of Mercurios,LIT1899Martyr#t3arabic, ar,
Dǝrsāna Śǝllāse,LIT1300Dersan, gez, Not available, saws:isVersionOf, Zena nägäromu läśǝllase,LIT2623Zenana, gez,
Dǝrsāna Śǝllāse,LIT1300Dersan, gez, Not available, saws:isVersionOf, Mäṣḥafä śǝllase,LIT1966Mashaf, gez,
Baralām wa-Yǝwāsǝf,LIT1199Barala#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1199Barala#t7arabic, ar,
Bilawhar wa-Būdāsaf,LIT1199Barala#t4arabic, ar, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1199Barala#t3pahlavi, pal,
Not available,LIT1199Barala#t5georgian, geo, Not available, saws:isVersionInAnotherLanguageOf, Bilawhar wa-Būdāsaf,LIT1199Barala#t4arabic, ar,
Not available,LIT1199Barala#t6greek, grc, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1199Barala#t5georgian, geo,
Not available,LIT1199Barala#t7arabic, ar, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1199Barala#t6greek, grc,
Maṣḥafa ʾardǝʾǝt,LIT3942ArdeetCh, gez, Not available, saws:isVersionOf, Maṣḥafa ʾardǝʾǝt,LIT1915Mashaf, gez,
Maṣḥafa ʾardǝʾǝt,LIT3945ArdeetBE, gez, Not available, saws:isVersionOf, Maṣḥafa ʾardǝʾǝt,LIT1915Mashaf, gez,
Maṣḥafa krǝstǝnnā,LIT3979MashafaKrC, gez, Not available, saws:isVersionOf, Maṣḥafa krǝstǝnnā (Generic record),LIT1940Mashaf, gez,
